,text,depression_level
1,"Deberían eliminar a las malas personas y a los que odiamos vivir
... el mundo sería mejor sin nosotros",3 star
2,Ya deja de intentar contarle tus problemas a alguien. Entiende A NADIE LE IMPORTAS!!!!!,4 stars
3,"La tristeza es lo más fácil de ocultar de todos los sentimientos que trae consigo la depresión

#LaDepresiónEsMulticolor",5 stars
4,"De las peores cosas de la depresión es que no te deja ganas de vivir... Ni de matarte.
Sólo te tiene aquí, agonizando",3 stars
5,"La soledad es lo único constante en mi vida. Creo que nunca conoceré el AMOR, la AMISTAD, la FELICIDAD... lo que es VIVIRYa me cansé!",5 stars
6,"Quiero desaparecer, pero al mismo tiempo quisiera que alguien se diera cuenta el infierno en el que vivo",2 stars
7,"No madre, no estoy enferma de flojera
no, no tengo narcolepsia

...ME ESTÁ CONSUMIENDO LA DEPRESIÓN",2 stars
8,"Mi vida no tiene sentido.

...tengo las mismas ganas de irme de este mundo, como aquel que está en una fiesta donde… EXTERNAL_LINK",1 star
9,"Ya me cansé de ser gorda
Ya me cansé de ser un fracaso
Ya me cansé de ser
... Ya quiero irmeeeeeeeee!!!",2 stars
10,Según mis cálculos yo ya debería estar muerta,3 stars
11,"odio sentirme tan incómoda rodeada de gente, odio sentirme insegura cuando la gente me mira",1 star
12,Cada día más ganas de morir,1 star
13,"Que raro se siente estar en neutro, ni triste ni feliz, solo estás ahí, sin sentir nada",1 star
14,"soy tan tóxica conmigo misma que me pongo a pensar cosas que me hacen mal o me imagino situaciones para ponerme mal, no doy más de pelotuda",2 stars
15,"Nunca les paso que se empiezan a sentir triste de la nada, y sentis un vacío dentro tuyo que no sabes cómo llenar y… EXTERNAL_LINK",1 star
16,"Necesito atención y contención constante porque tengo 0 estabilidad mental y emocional, que paja relacionarse conmigo",1 star
17,Ultimamente mi estabilidad emocional esta mas inestable que el clima en otoño me encantaría tener un botón que diga… EXTERNAL_LINK,2 stars
18,"Es muy feo cuando se te juntan tus problemas con el estrés, ansiedad, depresión, es como una bomba a punto de explotar",2 stars
19,Que bueno sería despertar con autoestima,5 stars
20,Tanto dolor me esta consumiendo,1 star
21,"Odio esos días en los que no sabes qué te pasa, te falta algo, alguien, no lo sabes, pero estás re bajón",2 stars
22,Me quiero morir ya.,1 star
23,"No sé si esta noche podré pormir,ñe.",1 star
24,Creo que ya nada puede llenar el vacio que siento dentro de mi.,1 star
25,Siento una necesidad muy grande de autolesionarme.,1 star
26,Quiero dejar de llorar por todo.,1 star
27,Siempre me siento mal.,1 star
28,"Que mal me siento,que mal.",1 star
29,No sabía que me podia llegar a doler tanto una cosa así...,2 stars
30,No tengo ganas de vivir.,1 star
31,Qué difícil es todo.,2 stars
32,"A veces quiero desaparecer y ver a quien le importo,pero luego pienso en que no le importo a nadie,y se me quitan las ganas de todo.",2 stars
33,"No consigo animarme con nada. Solo quiero sentir lo de antes,no sentir ese puto dolor.",1 star
34,"Me despierto por una pesadilla que me deja pensando por horas, no lo soporto..",2 stars
35,Nose para que vine a este mundo si solo tengo y causo problemas..,5 stars
36,Mi presentimiento de que iba a ser un año de mierda se cumplió..,3 stars
37,"Ocultas la Depresión detrás de una sonrisa y un ""Estoy Bien""..",1 star
38,Siento que todo el mundo se alejó de mí por ser una molestia o simplemente una carga..,1 star
39,"La Depresión no es siempre la chica que grita en el baño o el chico que siempre lleva mangas largas, no siempre son… EXTERNAL_LINK",2 stars
40,Y es realmente deprimente saber que nunca he sido suficiente para alguien..,1 star
41,"Estos días mi cabeza no descansa, piensa, piensa y piensa, me ahoga, me lastima, me confunde, me hiere..",1 star
42,Que vida de mierda tengo..,1 star
43,Algún día podré dejar de sentirme tan mierda?..,1 star
44,Solo quiero dormir y llorar..,1 star
45,Odio no poder dormir porque pienso demasiado y me largo a llorar..,1 star
46,Otra noche donde no puedo dormir porque los pensamientos no me dejan tranquila..,2 stars
47,"Mi adolescencia y juventud se baso en llorar, cortes, crisis depresivas, sentirme sola y una completa mierda, odiar… EXTERNAL_LINK",2 stars
48,Estoy cansada de fracasar en todo..,1 star
49,"Ya no quiero vivir más, tengo miedo al resto del año..",2 stars
50,"Han regresado a mí la Tristeza, la Soledad, la Depresión, el Miedo, la Ansiedad, el Odio, las ganas de cortarme, la… EXTERNAL_LINK",5 stars
51,Cansada de ODIARME.,1 star
52,"Las lágrimas caen por mi rostro, estoy sola, no tengo a nadie.",1 star
53,"Estoy tan sola, tan triste, tan rota.",1 star
54,No merezco estar viva.,1 star
55,En serio estoy triste por ser como soy.,2 stars
56,"Me siento como un fantasma, no soy nadie.",1 star
57,Me parece imposible que alguien se fije en mí.,2 stars
58,"Me podés preguntar como estoy y siempre te voy a decir que bien. Mis sentimientos ya no me importan, puedo hundirme y me da igual.",5 stars
59,"Me quiero matar, tomé de más y dije un par de cosas que me pasan. Como que me odio, me corto y no estoy bien.",2 stars
60,Alguien me extrañaría? A alguien le importaría?,1 star
61,"Siempre uno piensa que se puede salir del todo, y no volver a recaer nunca. 
Pero lamentablemente, aunque intentes… EXTERNAL_LINK",1 star
62,No veo razones para vivir. EXTERNAL_LINK,3 stars
63,Odio tener recaídas! Eso muestra lo débiles que somos.,1 star
64,"Siempre la misma mierda, siempre me pasa todo a mí. 
Siempre arruinando todo.",5 stars
65,Que ganas de mandar todo a la mierda y morirme de una buena vez por todas.,5 stars
66,Todo en mi mundo es una mierda.,1 star
67,"Después de tanto tiempo, hoy siento que voy a volver a caer.",1 star
68,Me estan volviendo a invadir los pensamientos negativos.,5 stars
69,"Cuándo uno cree que ya salió de todo esto, siempre pasa algo que te vuelve a hacer recaer,  es algo interminable.",3 stars
70,Otra vez empiezo a sentirme sola..  Vacia.,1 star
71,Siempre termino estando sola. Siempre.,5 stars
72,"Mirenmen ,no valgo nada",1 star
73,Cansada de mi vida,1 star
74,"No soy una persona estable, no te acerques a mi",2 stars
75,Yo ya no puedo ser fuerte porque no tengo fuerzas,2 stars
76,Simplemente estoy cansada de que me fallen y sentirme una mierda todo él tiempo.,1 star
77,Mi vida consiste en estar mal,1 star
78,Soy tan inútil,1 star
79,"Me canse ,explote y otra vez enloquecí",1 star
80,Todo es una mierda.,1 star
81,"Necesito a alguien que pueda salvarme ,solo quiero a alguien que me salve de tanta mierda",1 star
82,Una fracasada eso es lo que soy ya no aguanto tanta precion,1 star
83,Tengo miedo constantemente,2 stars
84,No quiero existir mas es mucho sufrimiento la vida,1 star
85,A veces el mundo se me cae encima.,3 stars
86,"Pensé que había superado este dolor,  he vuelto a caer.",1 star
87,Este dolor me esta matando por dentro.,1 star
88,"Me gustaría poder borrar todo de mi mente, así no sentiría constantemente que estoy cayendo.",3 stars
89,"Comencé a ponerme mal, las pequeñas cosas que solían hacerme feliz ahora me dan igual,siento un vacío y un gran dolor en mi pecho.",2 stars
90,"Lloré.Lloré y no sé porqué. Solo sé que necesitaba hacerlo. Necesito llorar toda la noche, aunque, no me sienta mejor.",3 stars
91,Me siento tan vacía.,2 stars
92,"En este momento soy un desastre, por dentro y por fuera.",1 star
93,No quiero acostumbrarme a la felicidad si sé que después vendrá el dolor acompañado de llanto y depresiva soledad. EXTERNAL_LINK,1 star
94,"Cuando estoy mal siento que debería llorar o gritar, pero no puedo, simplemente me quedo callada, me acuesto en mi cama y solo pienso.",1 star
95,Llevo un enorme vacío en mi pecho.,1 star
96,A veces tengo la sensación de ahogarme en mis propios sentimientos.,3 stars
97,"No importa cuanto me esfuerce,nunca soy suficiente para nada ni para nadie",1 star
98,"Me gustaría ser fuerte,pero me derrumbo por todas partes",2 stars
99,"Trato de no perder las esperanzas, pero la esperanza algún día me va a matar. Porque estoy buscando algo que nunca va a pasar.",4 stars
100,"Mi vida se basa en fingir estar bien...y pensandolo bien,eso no es vida",2 stars
101,"La soledad y la depresión han sido mis verdaderas mejores amigas,nunca me han dejado sólo.",5 stars
102,Aveces simplemente quiero dormir y no despertar más.,5 stars
103,"Perdón por ser inestable, inseguro,tímido, en fin, un desastre.",1 star
104,"Te juro que lo estoy intentando,pero parece que la vida va siempre en mi contra.",2 stars
105,Y si mejor me muero?,2 stars
106,Ya no sé que hacer...mi mundo simplemente se derrumba,1 star
107,"No me encierro en mi cuarto porqué me guste estar sola, no me encierro en mi cuarto por ser antisocial, simplemente… EXTERNAL_LINK",1 star
108,"A veces me siento triste, cansado y desgraciada sin ninguna razón",1 star
109,Estoy cansada de vivir. EXTERNAL_LINK,1 star
110,Estás ganas de llorar hasta quedarme dormida...,5 stars
111,"A veces es mejor estar solo, nadie puede lastimarte",3 stars
112,"Nada esta bien, pero... A quién se lo cuento??",1 star
113,Mi vida se está desmoronando ante mis ojos y no tengo fuerzas ni para levantarme,1 star
114,"Es tan complicado encontrar razones o motivos en medio de aquel torbellino de sensaciones, es como estar dentro de… EXTERNAL_LINK",2 stars
115,Ojalá y esto se acabe pronto..,3 stars
116,"Por más que intentas, todo parece empeorar y cada día ser más oscuro.",2 stars
117,Mis días cada vez son más mierda 😒,1 star
118,Me quiero morir,1 star
119,Las ganas de lastimarme aumentan y no físico.,2 stars
120,"es como que a veces yo sola me dejo caer

es como que

a veces

no quiero mejorar",2 stars
121,Odio ser yo,5 stars
122,"sólo a mi me pasa que a veces siento un vacío en el pecho y no es por extrañar a alguien, o estar triste, sino que… EXTERNAL_LINK",2 stars
123,"estoy tan deprimida. no soporto más, nada de esto.",1 star
124,"desde hace muchísimo siento que me muero, que se me consume el corazón, que tengo un vacío en la panza que no me de… EXTERNAL_LINK",1 star
125,me siento miserable,1 star
126,que falta de estabilidad,2 stars
127,ansiedad ansiedad ansiedad ansiedad ansiedad ansiedad ansiedad ansiedad ansiedad ansiedad ansiedad ansiedad ansieda… EXTERNAL_LINK,3 stars
128,No me importa nada.,1 star
129,Un saludo a mi psicológa que solo finge conmigo y le importa una mierda mi vida.,5 stars
130,Siento que me pierdo dentro de mi mente.,2 stars
131,Otra vez fallando en el intento de matarme.,1 star
132,esto me está pesando demasiado al grado de no poder dormir,2 stars
133,"YA NO SE COMO PEDIR AYUDA, NADIE ME LA VA A DAR",1 star
134,"Ya no quiero seguir existiendo, eso es irreparable, arruine mi infancia, mi pubertad, mi adolescencia, ya no quiero… EXTERNAL_LINK",1 star
135,"esto me rompe y me hace llorar, saber que nada es estable me desvanece",1 star
136,"el problema empieza cuando piensas demasiado, al final del día y terminas ahogada en sentimientos abominables",2 stars
137,"Me odio. Me detesto tanto que quisiera asesinarme, pero no quiero herir a mas personas.",5 stars
138,realmente no tengo a nadie,1 star
139,"Nadie va a estar ahí cada vez, nunca nadie estuvo. Por favor sácame de esto.",1 star
140,"me siento abandonada, supongo que los que amo encontraron algo mejor",2 stars
141,"me pregunto si algún día estaré bien, si algún año sera bueno o cuando dejare esta depresión atrás",2 stars
142,Mi vida es una mierda y la culpa es toda mia. Me odio muchísimo.,5 stars
143,"Ahora mismo lo que mas deseo es morir. Basta, como hago que pare el dolor?",1 star
144,"Como quieren puedo seguir así? No tengo fuerzas, de verdad",5 stars
145,"Huir, todo lo que se hacer. Me odio.",5 stars
146,"Otra vez hago sentir decepcionados a mis padres, para nada sirvo yo. Ojalá morir.",1 star
147,"Si me rindo, me podría mi familia perdonar? Mis amigos? Si saben lo cansada que estoy, podrian compadecerse?",1 star
148,"Las cosas no estan tan mal, tengo amigos supongo y eso, solo... No dejo de sentirme tan mal, ya no se que mas hacer  estoy muy cansada.",2 stars
149,"No puedo creer lo mucho que he cambiado, lo mal que estoy haciendo todo y en que persona tan mierda me he convertido",1 star
150,"Me deprime ir a la escuela y ver a todos ahí gritando y riendo mientras yo estoy sola con el celular, que mierdaa todo",1 star
151,"Me duele mucho la cabeza, puedo parar de llorar ahora?",1 star
152,"Puede ser que tenga tanta tristeza que, aun sin pensar en lo que la causa, está ahí, todo el maldito tiempo",1 star
153,"Que mas da si miento sobre como me siento, da igual, siempre estoy mal y nada de lo que pueden hacer me haría sentir mejor, da igual lpm",1 star
154,Me siento tan vacía,2 stars
155,Pensar en el tiempo me pone triste,2 stars
156,"Reconozco que estoy en mis días malos, puedo aparentar que todo está bien pero por dentro me estoy muriendo y soy capaz de cualquier cosa",1 star
157,"Tengo miedo, siento que de a poco voy a caer de nuevo. Estoy ""bien"" pero cualquier cosa me puede hacer mal, tengo miedo",2 stars
158,Nadie entiende el horrible momento que estoy pasando y cada vez me siento más sola,1 star
159,"Me canse, me doy por vencida, literalmente no puedo más, estoy por explotar en cualquier momento",1 star
160,"Hoy soy capaz de todo, total de dejar de sufrir, haría cualquier cosa",5 stars
161,"Estaba soñando que me ahogaba y no podía respirar, me desperté asustada y no estaba respirando",1 star
162,"Llorar tanto hasta que las vías respiratorias se taparon y no tener fuerza para respirar, eso está pasando. No puedo más",2 stars
163,Siempre le tuve miedo a llegar al punto de querer suicidarme y ya lo intente varias veces,5 stars
164,Ya una vez quise dormir para siempre a través de una pastilla sé que hoy soy capaz de hacerlo de nuevo,5 stars
165,Otra vez líneas en todas mis muñecas,5 stars
166,"Estoy cansada de cada vez que estoy mal cortar mis brazos o mis piernas, estoy cansada de esto. Por una vez quiero sentirme apoyada",1 star
167,Tengo Que Fingir Todo El Tiempo Para Evitar Estar Siempre Llorando.,5 stars
168,Ya No Se Que Sentir.,2 stars
169,Estoy Cansada De Caer Y Deprimirme Por Cualquier Cosa.,1 star
170,No Bromeo Cuando Digo Que Desearia Estar Muerta.,1 star
171,"Lo Peor De Todo , Es Que Soy Consciente De Que Me Estoy Matando.",1 star
172,"Me Siento Mal , Peor Que Mal , Me Siento Destrozada.",1 star
173,Me Siento Un Puto Asco Todos Los Dias.,1 star
174,Hay Dias En Lo Que Solo Quiero Desaparecer.,5 stars
175,¿Y Si Mejor Me Muero?,1 star
176,Al Final Todos Me Fallaron.,1 star
177,No puedo sentirme tsn msl,1 star
178,Nada me activa a cambiarrr,1 star
179,No puedo parar de comer,1 star
180,Que ganas de morirme,1 star
181,No me puedo sentir tan mal 😥😭😭😭,1 star
182,Comer xq te obligan y otras cosas de hacerte mierda,5 stars
183,Necesito ser flaca,2 stars
184,Me pone mas mal de lo que estoy hacer sentir mal a otras personas por no querer contar lo que me pasa,2 stars
185,No puedo seguir asi😭😭😭,1 star
186,Asco me doy,5 stars
187,quiero desaparecer YA,1 star
188,"me siento muy mal todavía, lo peor es que digo que al otro día voy a estar mejor y NO",1 star
189,"estoy muy cansada, quiero dormir y no despertarme más.",1 star
190,"me acuerdo cuando me dio un ataque de pánico en el auto con dos amigos, yo estaba por tirarme de la ventana mientra… EXTERNAL_LINK",1 star
191,estoy perdida.,1 star
192,quiero dormir pero no me voy a permitir irme a dormir así de triste y menos llorando.,1 star
193,por qué no puedo parar de llorar aaaaa,1 star
194,como que se está repitiendo todo lo mismo de antes y sé que la voy a volver a pasar mal,1 star
195,estoy rota otra vez,1 star
196,estoy harta de llorar y no hacer nada para arreglarlo.,1 star
197,No puedo dejar de llorar,1 star
198,La depresión me ganó y espero esta noche morirme,1 star
199,Ganas de morirme,1 star
200,No puedo con mis pensamientos,1 star
201,"Creí que ya había salido de toda esta mierda, pero no fue así. En realidad nunca he salido y estoy peor que antes.",1 star
202,"Una vez me hicieron sentir que la culpa de todo la tenía yo, que era un desastre, me hicieron sentir que no sirvo p… EXTERNAL_LINK",1 star
203,"Volvemos a sentirnos mal de nuevo y no hay nada que pare las ganas de llorar,volvemos a los pensamientos que tanto… EXTERNAL_LINK",1 star
204,"Un corte,dos cortes,tres cortes y muchos mas",5 stars
205,"Estoy hundida,no encuentro salida,habia podido sacar un poco mis ganas de morirme pero volvi a caer en toda esta mi… EXTERNAL_LINK",1 star
206,No quiero que mis demonios tomen control de nuevo sobre mi porque sino voy a caer,1 star
207,"soy así 
insegura, 
molesta,
depresiva, 
complicada, 
celosa, 
gritona, 
exhaustiva, 
insistente, 
problemática, 
i… EXTERNAL_LINK",1 star
208,Me siento como si estuviera muerta y nadie lo nota,1 star
209,Que ganas de dormir para siempre,5 stars
210,"A quien miento si yo misma estoy cansada de mi,soy un estorbo para todos,un problema y siento que todos estarian me… EXTERNAL_LINK",1 star
211,Para vivir así lo mejor sería dejar de hacerlo.,5 stars
212,Estoy harto de vivir asi.,5 stars
213,Ya no aguanto mas.,2 stars
214,"El miedo, la baja autoestima y el continuo pensamiento de que piensan mierda de mi no me dejan relacionarme.",1 star
215,"Me estoy convirtiendo en algo que no quiero, alguien borde y sin sentimientos por nadie.",5 stars
216,Mejor irse que la cosa va a peor como cada noche.,1 star
217,"Entiendo perfectamente las miradas de asco, soy inferior a cualquiera.",5 stars
218,"Soy demasiado debil mentalmente, por eso soy un inutil y por eso estoy asi.",2 stars
219,No puedo ser más mierda.,2 stars
220,"Ojala morirme pronto, esto es insoportable.",1 star
221,Ojala tener valentía para suicidarme.,1 star
222,"Cada día molesto y hablo menos con la gente, es lo mejor.",5 stars
223,Soy una mierda para todos y eso me hace más mierda aun.,1 star
224,"Lástima no atreverme a acabar con todo, sería lo fácil y lo correcto para mi y para todos.",5 stars
225,"Estoy tan triste, tan vacía, me siento tan mal",1 star
226,Que insano eso de estar todo el día llorando 🙍🏼‍♀️,5 stars
227,"Estoy cansada de llorar, estuve toda la semana llorando",1 star
228,No se que hacer con mi vida,1 star
229,Tengo un mal presentimiento de que no voy a salir de esta por mucho tiempo 😔,1 star
230,Me desespera más no poder salir de esta depreciación que estar en ella,1 star
231,"Estoy tan depresiva, tan sola, tan vacía",1 star
232,"Todo el día con un nudo en la garganta, un vacío en el estómago y un dolor en el pecho...",1 star
233,Cada vez estoy más hundida en todo esto y no veo que alguien me intenté ayudar a salir adelante,1 star
234,"Yo ya había salido de todo esto, de esta soledad",5 stars
235,No puedo dormir. Ni quiero.,1 star
236,"Tratamiento, día 736. El psiquiatra tenía razón cuando me comentó no cambiar la dosis de la medicina si iba a tener… EXTERNAL_LINK",1 star
237,No puedo dormir y La Venus de las pieles no es la mejor compañía.,2 stars
238,"Tratamiento, día 708. No recuerdo un día en el que haya estado más triste y apagada durante el tratamiento como hoy… EXTERNAL_LINK",1 star
239,Tardé tanto en quedarme dormida anoche que ahora estoy toda deshecha en la cama y ya es bastante tarde.,2 stars
240,"Tratamiento día, 712. Me siento cansada, triste y a la expectativa.",1 star
241,"Tratamiento, día 836. Escuché que el humano se enferma porque no pone orden a lo que piensa y siente. Así, toma med… EXTERNAL_LINK",1 star
242,Ayer se me olvidó tomar la venlafaxina y hoy estoy mareada pero mi flojera es mayor.,2 stars
243,"Tratamiento, día 718. Hoy comencé el día estando desanimada y triste. El ejercicio me ayudó mucho, estoy pensando e… EXTERNAL_LINK",5 stars
244,"Tratamiento, día 830. Estoy triste y estresada. Aun así me río fácil, fuerte y con ganas, como si en ese momento no… EXTERNAL_LINK",3 stars
245,"Tratamiento, día 834. Exploté por frustración y enojo. Lloré y me desahogué y listo, dejé de ser verde.",1 star
246,Dice mi cuerpo que baje por comida pero no se mueve ni hace el intento.,1 star
247,"Tratamiento, día 832. Les dije a mis papás que no era malo tener miedo, llorar o enojarse. Y creo que se sacaron de… EXTERNAL_LINK",1 star
248,"Tratamiento, día 620. A ratos estoy muy triste y a veces se me olvida todo lo que pueda tener dentro. ¿Es porque me voy a casar?",1 star
249,Odio ser tan insegura de todo; estoy cansada de vivir con ese constante miedo de fallar y decepcionar a las personas que mas quiero.,1 star
250,"Me siento la persona mas reemplazable del mundo, siempre.",5 stars
251,"Quiero estar bien y no lo consigo, por mucho que me esfuerce siempre va a haber algo que me haga mal.",2 stars
252,Mis ganas de cortarme son enormes. 😩,1 star
253,"Estoy tan acostumbrada a estar mal, que ya no trato ni de entender que me pasa.",1 star
254,Cada día se vuelve mas insoportable fingir que estoy bien cuando en realidad no es así.,2 stars
255,Mi vida sería tan diferente si tuviera aunque sea un poco de autoestima.,3 stars
256,"Hay días en los que el vacío que llevo dentro se siente mas pesado que otras veces, pero no entiendo por qué.",3 stars
257,Siento que no encajo en ningún lugar.,2 stars
258,Que triste sentirse en tanta soledad cuando estas rodeado de gente que dice ser tu amigo.,1 star
259,Odio esa sensación de no ser suficiente para nadie.,1 star
260,"Últimamente no soporto ni la mínima cosa, ya me cansaron",1 star
261,Que alguien me diga por qué en las noches me pongo re insoportable,1 star
262,Que vida de mierda la mía :(,1 star
263,Me siento muy triste y bueno mañana seguro amanezco peor,1 star
264,Es inicio de semana y ya estoy cansada y estresada,1 star
265,"Tengo sueño, flojera, cansancio, hambre, tengo todo, menos felicidad",1 star
266,La hora que es y yo sin poder dormir lpm,5 stars
267,No soporto nada,1 star
268,"Seguro si vuelvo a cerrar todas mis redes como hace años, nadie lo va a notar porque a todos les importo una mierda",1 star
269,Hace una hora me sentía de lo más feliz y ahorita sólo me quiero morir,1 star
270,Todo el tiempo me siento triste lpm ya estoy harta,1 star
271,Me siento ahogada...,1 star
272,Cuando te pones a leer la historia clínica y ves la parte de cuando iba al psicólogo y psiquiatra...🔫🔫🔫,5 stars
273,"A veces uno cae en depresión, y sólo quiere abrazar a alguien para desahogarse, pero no puede... No hay nadie a quien abrazar.",2 stars
274,Últimamente no estoy soportando nada... que mierda me esta pasando,1 star
275,Soy el ejemplo de decepción en pinta sin duda,1 star
276,Una decepción atrás de otra...,1 star
277,No puedo hacer nada bien...,1 star
278,Lo que me odio no tiene explicación....,1 star
279,Ni ganas de vivir...,1 star
280,Autoestima por el piso...,1 star
281,Esto no se puede llamar vida si todo los días te despiertas deseando nunca mas hacerlo....,1 star
282,"Al final siempre se vuelve a caer en lo mismo, una y otra vez",2 stars
283,La cabeza llena de demonios,1 star
284,"Podes sentirte bien varios días, pero en algun momento volves a caer en ese mismo agujero que tanto te costo salir",2 stars
285,"No sirvo para nada, y nunca servi",1 star
286,"Me inundan las ganas de volver a cortarme,  sentir la navaja en mi piel, intento resistirme, aunque se que voy a volver a perder esta guerra",1 star
287,Que ganas de romper todo,1 star
288,Me siento tan perdida,1 star
289,Nunca me senti tan sola,1 star
290,"Soy un desastre, un maldito desastre",1 star
291,"Cuando sientes que no puedes estar peor, pasa algo que te hacer dar cuenta que hay un pozo más profundo",3 stars
292,"No siento mi cuerpo, me duele todo. Preferiría estar muerta.",1 star
293,"Primera sesión con mi psicóloga después de mucho y quiere que hable de mi ex. 
Estás loca mujer., Más que yo",5 stars
294,"Para que mierda existo si me siento tan sola, estoy harta.",2 stars
295,No me levanté en todo el día de mi cama. No quiero que me molesten,2 stars
296,"No tengo miedo de medicarme, solo espero que sea mejor para mí y no termine peor que ahora",3 stars
297,"Porque la vida me sigue pegando tan duro, ya no puedo más.",5 stars
298,Desde anoche no se me quita esa sensación de no poder respirar,1 star
299,"Tengo mil ganas de pegarme un tiró, de acabar con toda esta mierda
Ya no puedo más, ya nadie me puede salvar.",1 star
300,Quiero dejar de sentirme mal todo el tiempo.,1 star
301,El ataque de ansiedad que tuve ayer fue uno de los más feos en toda mi vida.,5 stars
302,"La noche está fría, no puedo dormir
Ojalá el insomnio se fuera, pero nunca se va.",1 star
303,Lágrimas de noche un infierno de día,5 stars
304,Hoy estoy más caída que nunca.,1 star
305,No llegó a nada. Siempre me quedó parada en el camino.,1 star
306,"No quiero comer. 
No quiero vivir.
No quiero estudiar.
No quiero sufrir.
No quiero seguir
No quiero luchar
No quiero sentir.

No quiero..",1 star
307,Estoy muy angustiada. De sentir que no sirvo para nada.,1 star
308,"Me apegue tanto a las acompañante terapéuticas que me cuesta mucho soltarla.
Por que a pesar de que sea una mierda. Tengo sentimiento.",3 stars
309,Me siento que no puedo más.,2 stars
310,Odio los antidepresivos. Remedios de mierda. Que al pedo los tomó que no me hacen absolutamente nada.,1 star
311,"Necesito a mi psiquiatra.
Necesito que me suba la medicación.",1 star
312,Quiero irme de acá.,1 star
313,Me tomaría todas las pastillas de una vez a ver si hacen efecto,3 stars
314,Quiero sentirme viva... Odio estar tan muerta.,1 star
315,Hasta fracase en los intentos de matarme. Soy una boluda fracasada. Me odio.,1 star
316,Que depresión de mierda.,2 stars
317,Me duele la cabeza. Quiero dormir.,1 star
318,"Los miedos, me impiden tantas cosas.",5 stars
319,Tantas ganas de cortarme. Quiero sacarme el dolor que siento dentro de mi. Aunque no dure demasiado. Pero me alivia.,3 stars
320,Pienso a veces que no tengo salida de esto,3 stars
321,Por que no me muero de una vez.,1 star
322,Estoy tan cansada de ser esta mierda que soy,1 star
323,La depresion y los estudios no son buena conbinacion,2 stars
324,Que vacía me siento,2 stars
325,Más sola que nunca,1 star
326,Me siento sola,3 stars
327,No valgo nada,1 star
328,Me voy a suicidar,1 star
329,Ojalá nunca hubiera nacido,1 star
330,"Antes estaba bien, y ahora estoy rota , más rota, y ya no sé qu hacer para arreglarme",2 stars
331,Odio mi vida,5 stars
332,No me gusta mi vida,2 stars
333,No paro de llorar que mierda esto.,1 star
334,Si tuviera el valor de matarme ya lo hubiera hecho o estaría en eso.,1 star
335,"Lloro con un dolor,con una angustia tan grande.",5 stars
336,"Estoy muy deprimida,y mayor mente siempre es mi culpa.",1 star
337,Tan destrozada me siento que no doy mas,1 star
