,text,depression_level
646,"Con tantos pensamientos de mierda, debería de escribir un libro. Alguien en este mundo debe coincidir con mi forma de pensar.",1 star
647,Soy una persona dañada.,1 star
648,"En realidad, no me pasan cosas buenas en la vida. Simplemente pasan cosas y ya.",2 stars
649,"No exagero. Si me duele, me duele. Solo yo siento mi propio dolor.",3 stars
650,"Quisiera hacer tantas cosas, pero sé que no sirvo para nada. Soy inútil pues.",1 star
651,"A veces no encuentro la palabra para definir mi estado de animo, porque cambia rápido puedo estar sonriendo y al rato tirado en la cama.",3 stars
652,"Estoy cansado, mas allá de lo físico también sentimentalmente, ya no aguanto más de encontrarme todo el tiempo mal.",2 stars
653,Esa horrible sensación de querer escapar sin saber a dónde.,1 star
654,No se que hacer con mi vida,1 star
655,A veces tengo ganas de desaparecer por un tiempo y olvidarme de todo.,3 stars
656,"Nunca les paso que se empiezan a sentir triste de la nada, y sentis un vacío dentro tuyo que no sabes cómo llenar y… EXTERNAL_LINK",1 star
657,Sufro muchísimo de inestabilidad emocional. Estoy 5 minutos bien y al rato no tengo ganas de seguir viviendo.,1 star
658,"Es increíble el estrés que te hace tener la rutina, yo término agobiado y deprimido a final del día por saber que m… EXTERNAL_LINK",5 stars
659,"Odio esos bajones existenciales que tengo cada cierto tiempo, de preguntarme tantas veces que carajo haré con mi vi… EXTERNAL_LINK",1 star
660,Ya se me hizo costumbre sentirme sólo todo el tiempo,5 stars
661,Hay bajones que nunca nadie va a poder entenderte.,1 star
662,No puede ser que llore por TODO.,2 stars
663,Hace muchisimo no lloraba tanto,2 stars
664,"No entiendo por qué lloro por todo,tan pelotuda voy a ser?????",1 star
665,Me siento tan vacía.,2 stars
666,Tengo una angustia horrible hace días,1 star
667,Estoy cansada de todo esto.,1 star
668,No puede ser que me bajonee asi de un segundo a otro,2 stars
669,Y volvemos a lo de llorar todas las noches...,5 stars
670,Siempre se termina volviendo al pozo depresivo,1 star
671,Nadie merece vivir odiando su propia existencia,1 star
672,Cada año es peor que el anterior y yo no se cuanto más voy a aguantar.,2 stars
673,Acabo de estallar como no había estallado antes.,1 star
674,Estoy echando mi vida a perder por culpa del caos que tengo en mi cabeza.,5 stars
675,"Tambien hace dos semanas que casi no como, llevo dos meses con depresión, estoy en una relación tóxica y no tengo amigos.",1 star
676,No tengo ni ganas de salir de la cama.,1 star
677,Quiero morirme de una puta vez porque se que mi vida va a ser siempre la misma mierda.,1 star
678,"Estoy volviendo a ser la misma chica depresiva, pesimista e insegura que era antes.",1 star
679,"Me siento triste, sola y perdida todo el tiempo.",1 star
680,"Siento que estoy mal otra vez, pero estoy demasiado cansada para que me importe...",2 stars
681,Soy un fracaso y todo el mundo sufre por mi culpa. Sería mejor que me fuese y me dejase morir en alguna esquina.,1 star
682,Llevo llorando sin poder parar desde que me he levantado y mi madre no me ha preguntado ni qué me pasa. Esto es muy… EXTERNAL_LINK,5 stars
683,Tengo curiosidad sobre cual es la mejor forma de suicidarse.,3 stars
684,No quiero molestar a la gente con mis mierdas porque todos tienen sus cosas y cada uno debería encargarse de lo suy… EXTERNAL_LINK,5 stars
685,Cuantas ganas de morirme.,1 star
686,"Todo lo que hago, lo hago mal.",5 stars
687,¿No os pasa que a veces os asustáis de vuestros propios pensamientos?,2 stars
688,Otra vez solo a tener ganas de dormir y no poder hacerlo.,1 star
689,Tengo miedo de mi misma.,2 stars
690,Lo que me jode es que no soy feliz o estoy mal. Son baches que me pillan por sorpresa. A veces estoy muy en la mier… EXTERNAL_LINK,2 stars
691,Cada día más ganas de suicidarme y acabar con todo. Les haría un favor a todos.,5 stars
692,Quién hubiese pensado que llegaría a ser tan fracasada.,1 star
693,Las ganas de morirme regresan día con día.,5 stars
694,Tengo ganas de llorar y pegarme en la cabeza.,1 star
695,"Tengo una opresión en el pecho, tan grande, que podría llorar una semana entera.",2 stars
696,Estoy al borde de otra crisis jujuju.,1 star
697,"He perdido el rumbo, incluso de mis propios pensamientos.",1 star
698,Me rompí.,2 stars
699,Ya me quiero moriiiirrrrr.,1 star
700,"No sé qué está más de la verga, mi salud o mi estabilidad emocional.",3 stars
701,"De veras, siento que no voy a poder.",2 stars
702,He pasado de no dormir nada cuando estoy mal a estar todo el tiempo dormida,1 star
703,"Creo que va siendo hora de ir a dormir, a ver si con suerte no me despierto",3 stars
704,"Me acaba de dar un bajón muy fuerte, llevo una hora llorando y no puedo parar, ya no sé que hacer",5 stars
705,"Estoy cansada, como si me faltará energía pero no tengo sueño.",2 stars
706,Me esta dando un ataque de ansiedad en mitad de clase y no puedo controlarlo,1 star
707,"Gorda. Doy asco, me he vuelto a exceder. Soy una inútil, ni en eso tengo el control",1 star
708,"Pensaba que estaba mejor de mi depresión pero en realidad sólo me engaño a mi misma, en realidad sé que sigo igual de mal que siempre",2 stars
709,Y aqui estoy comiendome la cabeza en lugar de dormir,5 stars
710,Tengo ganas de dejarlo todo y no salir de mi habitación más.,1 star
711,Me va a estallar la cabeza,1 star
712,Cuando estoy bien recuerdo mi depresión como un chiste pero siempre vuelve para hacerme decaer de la peor manera,2 stars
713,Me la he pasado todas las noche más recibiendo de todo estando tan mal llorando sin saber por qué me he vuelto así… EXTERNAL_LINK,1 star
714,Como odio sentir la angustia y tristesa de nuevo 😔,5 stars
715,Me siento tan insegura tan incómoda tan un estorbo para cada persona que me rodea 😔,1 star
716,Me siento tan mal ahora 😔,1 star
717,Hacia bastante que no sentía tanta angustia y depresión junta 💔,2 stars
718,Hacia mucho que no me sentía jodidamente depresiva y sola ...,2 stars
719,Estoy en una tristeza profunda que llega a hacer que me quiera matar...,5 stars
720,Me quieren triste y lo logran 😔,5 stars
721,Me siento peor que ayer...,2 stars
722,no puedo parar de llorar,1 star
723,me diagnosticaron esquizofrenia y depresión bien ahi,3 stars
724,2 meses sin cortarme pero necesito volver a hacerlo,2 stars
725,las voces me dicen que lo haga,1 star
726,encima los cortes superficiales no me satisfacen necesito profundos que me duelan,2 stars
727,desde que llegue a casa estoy llorando,5 stars
728,me estoy volviendo loca,3 stars
729,últimamente tengo más seguidos los ataques de pánico,1 star
730,saben lo feo que es sentir que alguien te mira o te sigue y tener que darte vuelta cada dos segundos me cagó toda,1 star
731,"estoy cansada de todo, de tratar denser fuerte y no lograrlo",1 star
732,Todo va mal ..,1 star
733,Otro día de mierda más.,1 star
734,El dolor me ha cambiado.,2 stars
735,Mi vida no tiene sentido.,1 star
736,Estoy demasiada triste para llorar y demasiada cansada para dormir.,2 stars
737,Me siento más sola que de costumbre..,2 stars
738,"Me quiero matar , ya no soporto seguir así.",1 star
739,"Nada de lo que hago es importante o tomado en cuenta, soy invisible hasta para mi propia familia.",1 star
740,Yo sinceramente no puedo con esto.,1 star
741,Me quiero matar.,1 star
742,"No encuentro forma de sentirme bien, jamas encuentro un momento para sonreír y sentirme bien , odio mi cuerpo, odio lo que soy .",1 star
743,Que horror tener que vivir un infierno todos los días,5 stars
744,Cada vez son más grandes mis ganas de matarme,1 star
745,Siento que en cada segundo me hundo mas y mas ...,2 stars
746,No les puedo explicar lo mal que me siento,2 stars
747,No puedo seguir sintiendo este vacio por dentro,1 star
748,"me quiero morir , soy una inútil , la vida no es para todos y menos para ami",1 star
749,Ya estoy harta de todo el mundo,5 stars
750,Quiero seguir durmiendo.,1 star
751,No aguanto seguir ni un minuto más,1 star
752,"Me siento tan vacía , triste, ya no tengo fuerzas para salir adelante",1 star
753,No veo las horas de acabar con todo,1 star
754,"Son las cuatro de la mañana, mi cuarto apesta a cigarrillo al igual que mi cabello, cuerpo y aliento. En menos de d… EXTERNAL_LINK",1 star
755,Estoy harta de sentirme como la única pieza que no logra encajar.,1 star
756,Estoy teniendo la puta crisis de ansiedad más grande que he tenido en años.,2 stars
757,"Mi psicóloga me recomendó un ""challenge"" de escritura que vio en Pinterest (toda moderna ella) se supone que el obj… EXTERNAL_LINK",4 stars
758,"Encima, debo enseñarle los escritos que tenga para mi próxima sesión y estoy entre censurarme y ""a huevo, yo le pag… EXTERNAL_LINK",1 star
759,"""No es mi trabajo decirte qué decisiones tomar, solo prescribirte medicinas que te ayuden a lidiar con el impacto d… EXTERNAL_LINK",2 stars
760,He perdido el control de mi misma.,1 star
761,"La depresión causa miles de efectos colaterales como falta de concentración, necesidad de aislamiento, incapacidad… EXTERNAL_LINK",2 stars
762,"No pude dormir en toda la noche porque luego de mi crisis de anoche, la cabeza me daba vueltas y no podía respirar… EXTERNAL_LINK",1 star
763,"Me siento tan mal hoy, nunca una bien",1 star
764,"Últimamente no siento más que tristeza o a veces nada, ya rompí todo en mi.",1 star
765,Estoy demasiado cansada para seguir.,2 stars
766,Que ganas de morir 24/7.,1 star
767,"Todo me agobia y sofoca, mejor exiliarme de la vida.",5 stars
768,Hoy la tristeza me consume.,5 stars
769,"Vivo acostada en la cama, en cualquier momento me salen raíces lloro",5 stars
770,"Me siento más horrible de lo normal, ya me rompi again",2 stars
771,Harta de sentirme insuficiente.,1 star
772,Necesito que me abrace hasta que deje de sentirme como el orto.,3 stars
773,no paro de pensar mierdas nunca.,1 star
774,nunca voy a llegar a hacer algo bien en mi vida.,5 stars
775,"no soporto esta vida de mierda, no soporto toda la mierda que me sucede.",2 stars
776,si sigo asi voy a terminar en el peor pozo depresivo que haya tenido.,1 star
777,soy una mierda de persona.,1 star
778,"hace mucho no escribia por aca, pense que estaba en una buena etapa, pero siempre vuelvo a lo mismo.",2 stars
779,es normal que todo me salga mal.,3 stars
780,no soporto a la gente que me rodea.,2 stars
781,no me sale una bien.,2 stars
782,lo peor es cuando vuelven las ganas de hacerme daño.,1 star
783,Hay que estar demasiado vacíos par dar cabida a tanta tristeza.,2 stars
784,Me siento triste y no sé que hacer con mi vida,1 star
785,"No hallar una explicación lógica al porque te sientes mal es terrible, solo estar en tu cama y llorar, llorar sin s… EXTERNAL_LINK",1 star
786,Miedo a volver a caer... EXTERNAL_LINK,1 star
787,Si desaparezco se que a nadie le importaría.,1 star
788,"Tengo un bajón de esos que solo producen ganas de llorar por horas, que te quitan las ganas de comer, levantarte de… EXTERNAL_LINK",2 stars
789,"Miento y me digo que estoy bien, mientras una cuchilla atraviesa mi piel me hace sentir libre y hace que no sienta… EXTERNAL_LINK",3 stars
790,No entiendo la manía  de querer alejar a todos.,2 stars
791,Quiero olvidarme de que existo.,1 star
792,"Más deprimida y más sola  que antes, más vacía que nunca.",2 stars
793,"Muchas veces deseaba que llegara alguien a sacarme de este abismo, ahora solo quiero hundirme, llorar, hacerme daño… EXTERNAL_LINK",2 stars
794,"Los antidepresivos son como la religión, solo te dan la ilusión de que pueden cambiar tu vida.",5 stars
795,Maldita estúpida depresiva😪,3 stars
796,"Ya no aguantó mas!!!me duele todo,esta mierda no me pasa mas😭",3 stars
797,Volver a cortarme o solo llorar todos los dias hasta no poder mas,1 star
798,"Me volvere loca,no puedo mas,ya no quiero seguir asi",1 star
799,No lo aguantó mas😭me duele demasiado y estos medicamentos de mierda no me ayudan en nada,1 star
800,"No tengo el valor para nada,solo quiero llorar",1 star
801,Tal vez ya no haya un futuro para mi...,5 stars
802,Esta vida es una mierda,1 star
803,"Es la primera vez q busco ayuda enserio,debo estar realmente mal para hacerlo😪",1 star
804,Estoy llorando y aun no entiendo de q sirve,5 stars
805,me quiero morirrrrrr,1 star
806,otro día de mierda,1 star
807,"no importa cuánto me esfuerce, nunca soy suficiente para nada, ni para nadie.",1 star
808,que se te corte la voz al hablar cuando estás triste es lo peor,1 star
809,"no puedo dormir, cada vez que intento dormir me quedo sin aire",1 star
810,"me estoy mareando mucho y me falta el aire, ojalá me esté por morir",1 star
811,que ironía vivir buscando estar bien pero hundirse cada día más,2 stars
812,"Te pasas el día fingiendo sonrisas, fingiendo que estás bien pero en verdad estás que te rompes en mil pedazos, que… EXTERNAL_LINK",2 stars
813,"me duele verme así, sin saber para dónde arrancar, sin saber para dónde correr",5 stars
814,No sé como describir lo mierda que me siento,2 stars
815,Que de la mierda me siento,2 stars
816,"Mi novio hizo como que ""bromas"" de que había engordado o estaba gorda. Y nada, me quiero morir",1 star
817,"Me atraque re feo hoy y encima tomé alcohol, me odio tanto",5 stars
818,Cansada de que me vigilen todo el tiempo,2 stars
819,"Me perdí. No sé que me pasa, no era así, no soy así.",1 star
820,Estoy harta de ser una gorda de mrd,1 star
821,Ptm me quiero matar,1 star
822,"No sé que llegarían a pensar las personas que me conocen si me encuentran esta cuenta. Igual no va pasar, talvez ni les importe.",1 star
823,Lo peor es que así mi apetito se abre más y ahhhg. Tengo que controlar mi ansiedad.,2 stars
824,"No puedo dejar de llorar, que estrés",1 star
825,"Amo cuando no me vigilan a la hora de comer, son muy pocas veces pero debo aprovechar.",3 stars
826,Tengo ganas de llorar hasta no poder más,3 stars
827,"Perdi la ilución de mi felicidad, cuando me di cuenta que hacia todo para estar bien y aún asi no podia",2 stars
828,Siento ese maldito vacío de nuevo . . . EXTERNAL_LINK,1 star
829,"La angustia que siento, nadie me la puede sacar.",5 stars
830,"Que haces cuando te mueres por dentro, y nadie te ayuda a escapar de toda esa mierda?",1 star
831,Estoy cansado EXTERNAL_LINK,1 star
832,"Y me di cuenta que mi vida comenzo a cambiar, me sentia diferente, mas solo, mas vacío, mas hundido y nada podia cambiar.",2 stars
833,"Necesito dejar de sentirme tan sólo y vacío, pero ya no hay remedio😔",3 stars
834,"Me siento destrozado, vacío, sin nada por lo que seguir, sin motivos para levantarme cada día.",1 star
835,"Odio esos momentos en los que me siento solo, y no puedo hacer nada.",5 stars
836,Estoy cansado de esos bajones que vienen así de la nada.,1 star
837,Realmente estoy en un infierno. EXTERNAL_LINK,5 stars
838,"Vivir en depresión 
Hacerme vários tatuajes que digan 
(Idiota, cobarde, imbécil, inservible) para recordarme que r… EXTERNAL_LINK",1 star
839,"Tenían razón, solo soy un fracaso en mi vida",1 star
840,Creo que ya es Tiempo de morirme,1 star
841,Ya no tengo ganas de nada,1 star
842,Matar a todos los que me han hecho la vida imposible durante este tiempo y luego suicidarme?,1 star
843,"Quiero irme a un lugar donde nadie me vea gritar, donde nadie me vea llorar, donde pueda sacar todo ese llanto que me he estado guardando",5 stars
844,Déjenme en paz pensamientos!! Que ya mucho daño me han hecho,5 stars
845,Me siento inútil,1 star
846,Maldito insomnio tengo que dormir!!,1 star
847,"Llegan otra vez esos pensamientos de culpa, de tristeza, de rabia, de todo! Ya no se como pedirles que paren!!",5 stars
848,Siento que no sirvo para nada,1 star
849,Que cansado que estoy de tantas cosas,1 star
850,En cualquier momento voy a explotar de llanto,1 star
851,Al parecer no valgo la pena ser amigo de alguien,1 star
852,Ya estoy cansado de llorar,1 star
853,"Al final todos se van,te dejan sólo y vas a tener que aguantar el peso de tus lágrimas y el de las ganas de renunciar a todo",1 star
854,Esto me está lastimando mucho,2 stars
855,Quiero llorar y cortarme por favor,1 star
856,Otra persona mas que se aleja... No sirvo para esto,1 star
857,Que fracaso soy.,1 star
858,Mi muñeca esa tan roja que ya no se en donde seguir cortando.,1 star
859,"Me siento vacía, no se que sentir al respecto de mi vida.",2 stars
860,"Nadie me necesita, nadie se preocupa.",1 star
861,Soy una decepcion para todos,1 star
862,Veo mi vida pasando y solo me dan ganas de morir EXTERNAL_LINK,5 stars
863,Que triste no sentir nada.,1 star
864,"Detesto esas noches en las que me deprimo, en las que pasan horas y el llanto no cesa, en las que solo pienso cuchillas y sangre.",1 star
865,"Este miedo que me oprime
Hoy es algo comun.",3 stars
866,Deberia lanzarme del puto balcon y dejar tanta mierda hablandole no se a quien por esta mierda de red social.,1 star
867,Literalmente no tengo ganas de hacer nada,1 star
868,Sólo que no decido cuando será el momento de dejar de existir.,1 star
869,Puede que merezca sufrir de la manera en la que lo estoy haciendo.,3 stars
870,Imposible sentirme bien,1 star
871,"Estoy en una crisis, apunto de romper en llanto",1 star
872,Que horrible saber que sos invisible para todo tu alrededor y que le da lo mismo como tu vida se destruye o no.,1 star
873,"Estoy volviendo a tener los mismos pensamientos que antes y eso me desborda, lo supere por varios meses.",5 stars
874,Clorazepan?,1 star
875,"Tengo una depresión encima, en cualquier momento me llenó el estómago de pastillas",1 star
876,Insomnio de mierda,1 star
877,"Es uno de esos días que son los peores de mi vida y quiero desaparecer, es tan intenso el dolor que no quiero nada.",1 star
878,"Quiero llorar perdón, no aguanto más nada",1 star
879,Es que no tengo nadie con quién hablar y me siento ahogada al no sacarlo,1 star
880,Puta madre quiero desaparecer,1 star
881,No quiero psiquiatras otra vez,1 star
882,O será la puta depresión otra vez?,1 star
883,Cinco noches seguidas cortándome no me hacen para nada bien,1 star
884,Enferma con E de estúpida mentalllll EXTERNAL_LINK,1 star
885,Esos momentos en los que tengo ganas de enterrarme un cuchillo en la garganta,5 stars
886,Hace tres días que no como (almuerzo ni cena). Estoy volviendo a lo mismo y me encanta.,5 stars
887,"Prometí que hasta que mi abuela estuviera con vida no iba a hacer nada, pero ella ya no está, y gran parte de mi quiere estar con ella",1 star
888,Sentir que no sirves para nada.,1 star
889,Me siento muy mal conmigo misma.,1 star
890,"La depresión y la ansiedad siempre van a acompañarme, y espero de verdad que un dia consigan vencerme.",5 stars
891,Me doy mucho asco.,3 stars
892,"Me siento tan estúpida cuando me veo llorando frente al espejo, despreciandome.",1 star
893,Muerta en vida.,1 star
894,"Rutina de siempre.
Unos cortes y a dormir.",5 stars
895,"Y que más da, si ya nada vale la pena.",2 stars
896,Estoy cansada de siempre lo mismo.,1 star
897,No puedo más.,2 stars
898,"Quiero estar sola, no soporto salir a la calle, no soporto hablar, no soporto mirar a la gente, no soporto a la gente.",5 stars
899,"No valgo nada, no sé hacer nada bien, soy una inútil que es insuficiente para todo el mundo, soy una mierda pisotea… EXTERNAL_LINK",1 star
900,Que harta estoy de todo ya.,5 stars
901,"Pensaba que apoyarme en los demás me vendría bien... pero no es así, no me entienden, solo me machacan diciéndome q… EXTERNAL_LINK",2 stars
902,"Solo quiero tirarme en la cama, volver a empastillarme y dormir, dejar de luchar por un día, porque ya estoy muy cansada.",1 star
903,No se que hacer con mi vida. Me siento tan perdida...,1 star
904,"Ayer lloré lo que llevaba semanas guardando, exploté completamente.",1 star
905,Quiero cortarme... me hice arañazos para calmarme pero... no es suficiente.,2 stars
906,"Soy un puto desastre, siempre tiene que haber alguien encima mia. Soy una carga, solo un problema más.",1 star
907,Solo ducharme y vestirme me deja al límite de mis fuerzas...,2 stars
908,"Pero aquí estoy, con heridas en los brazos, hechos por mis propias uñas, con un ataque de ansiedad y nadie me ve.",1 star
909,"No soporto más estar aquí... todo el mundo está mal, yo estoy mal... prefiero estar mal sola y no embargarme tambié… EXTERNAL_LINK",1 star
910,Solo quiero llorar...,1 star
911,"Si piensas mucho, te das cuenta de que casi todo es una mierda.",1 star
912,"Aquí iniciando la semana con ganas de morirme, como para no perder la costumbre.",5 stars
913,"Tengo tanto miedo, nose que está mal en mi.",1 star
914,"Cada vez que trató hacer algo bien, todo me sale mal.",2 stars
915,Odio tanto mi caracter de mierda.,1 star
916,el 2017 ha sido un año que me ha provocado más inestabilidad emocional que todos los años anteriores juntos.,2 stars
917,"soy un desastre
soy un estorbo
soy una mierda
soy un problema
soy un error.",2 stars
918,Ni siquiera sé por qué siempre estoy cansado. Probablemente es por aferrarme a cosas que debería haber dejado ir hace mucho tiempo.,1 star
919,"Solo pido que me salgan las cosas bien por estos días .
No cagarla como siempre . Solo eso pido eso, hacer todo bien ..",4 stars
920,Los pensamientos me hacen mierda.,2 stars
921,Nadie tiene que saber si estamos tristes.,5 stars
922,He estado pensado mucho en lo mierda que es mi vida.,5 stars
923,Odio cuando me quiero dormir y mi mente no se calla.,1 star
924,Todos mis días son un completo asco .,5 stars
925,"Que horrible es quedarse estancado, sin ganas, ni motivación, sin inspiración.",1 star
926,Estoy destrozado y nada puede arreglarlo.,1 star
927,Me siento en un abismo en el cual no puedo salir.,1 star
928,"Hay momentos en los que me siento vacío, como si no tuviera nada, como si no tuviera a nadie.",2 stars
929,He llegado al punto de perder el interés por absolutamente todo.,1 star
930,"¿Nunca les paso que se desconocen? Porque a mi me pasa mucho, últimamente",5 stars
931,intento tragar el nudo que tengo en la garganta...pero solo me hace llorar.,2 stars
932,"No quiero sentirme así toda la vida, con un enorme vacío en pecho y un nudo en la garganta",1 star
933,Últimamente me están dando ganas de dormir una semana seguida.,1 star
934,Hoy me siento más frágil que nunca.,2 stars
935,"Lo jodido de la depresión es que te aísla de amigos, familia... y te deja solo, sin justificación de por medio.",2 stars
936,Estoy volviendo a perder la motivación para levantarme por las mañanas.,2 stars
937,Me estoy haciendo mierda.,1 star
938,Depresión.,1 star
939,Cuando estoy a solas pienso en quitarme del medio.,2 stars
940,"Acabaré con mi vida, quizás no hoy, ni mañana, pero lo haré algún día...",5 stars
941,"Quiero que se detenga, que deje de doler.",1 star
942,"La depresión no es una excusa para evadir a la sociedad, es una realidad que limita cualquier tipo de espacio personal.",2 stars
943,"Quiero llorar, pero ya no salen lágrimas, quiero gritar, y mi voz se quiebra. Necesito desaparecer.",1 star
944,6:56 am. El insomnio dejo de ser una simple etapa desde las 3 am de 2014,1 star
945,Ansiedad.,3 stars
946,"Me siento igual que hace 4 años. Solo, vacío, inútil.",1 star
947,No sé que hacer con mi vida.,5 stars
948,Me siento tan mal que no puedo fingir no estarlo.,1 star
949,Estrés.,3 stars
950,Me duele mucho el alma.,5 stars
951,Estoy cansada de todo y de todos ojala esto fuera una pesadilla de la que pueda despertar...,1 star
952,Que baajoon,1 star
953,Aveces tengo miedo de mi misma!😳,5 stars
954,Acompañada o no me siento sola igual,3 stars
955,No puedo mas😥,2 stars
956,La vida misma me empuja hacia la muerte,5 stars
957,La vida es una mierda y los que te quieren solo lo empeoran,2 stars
958,Ya no puedo mas EXTERNAL_LINK,2 stars
959,Me aferro al mañana pero mi pasado me persigue.....,3 stars
960,yo no se la vida me odia :((,1 star
961,Me siento más sola y patética que nunca.,2 stars
962,"Me veo horrible, estoy triste e intratable, me siento usada y pisoteada, no quiero salir de mi casa, solamente quiero morirme.",2 stars
963,No me quieren en ningún lado y solamente tengo ganas de desaparecer.,2 stars
964,"Nunca sé que hacer ante los problemas, no tengo reacción.",2 stars
965,No puedo creer que necesite una pastilla de mierda para sentirme bien.,3 stars
966,No sé que hacer y estoy atrapada.,5 stars
967,Estoy tan cansada de que la gente a mi alrededor no me haga sentir nada.,2 stars
968,"Siempre estoy al borde del llanto, incluso cuando estoy de buen humor.",5 stars
969,"Mis estabilizadores de ánimo tienen un mejor efecto cuando recién los empezas a tomar, entonces, no los tomo por un… EXTERNAL_LINK",3 stars
970,No puedo estar tranquila nunca. Tengo tantas ganas de morirme.,2 stars
971,"Maduré desde el 2015 a ahora, pero estoy todavía más deprimida.",3 stars
972,Me siento tan desprotegida.,2 stars
973,"Siento la necesidad de lastimarme, que mierda loco estoy tan cansada de sentirme así, no quiero más esto",2 stars
974,Estoy muy sensible últimamente no me soporto,2 stars
975,"Estoy tan harta que ni llorar me sale pero tengo tanta rabia y tristeza que mejor me voy a dormir, así evito mandarme cagadas",2 stars
976,Que mal me hace todo que mal me hace todo que mal me hace todo que mal me hace todo,2 stars
977,Tengo que hacer varias cosas pero no tengo nada de energía y encima estoy triste,2 stars
978,Trato de no pensar en cosas feas para estar al menos un poquito bien pero aunque no piense el sentimiento de tristeza y vacío nunca se va,2 stars
979,No sé q estoy esperando para matarme,2 stars
980,Que insoportable es mi existencia,2 stars
981,"Me siento tan hundida, tan incapaz, me da tanta rabia ser yo, tanta impotencia no poder",2 stars
982,Que asco existir,2 stars
983,"Me siento como si fuera a estallar.Todo el estrés, la presión y la ansiedad burbujeando, pero nunca soy capaz de sacarlo.Sólo sigue adentro.",2 stars
984,Mi mamá está criticando la depresión y diciendo que tiene derecho a hacerlo porque ella lo pasó. Si supiera que yo entiendo de lo que habla.,2 stars
985,A mi nunca nada me puede salir bien.,2 stars
986,"Sólo tengo ganas de llorar, pero llorar en la facultad no es una opción.",3 stars
987,Estoy sensible y me siento una estúpida porque todo me pone mal.,2 stars
988,Un día de estos voy a explotar y sacar todo lo que he guardado durante tanto tiempo. Y quién sabe? Talvés todo acabe luego de eso.,2 stars
989,Es increíble que hasta con mis amigas me termino quedando sola. Ya no soporto que me ignoren.,5 stars
990,No quiero hacer nada,2 stars
991,Quiero morirme,2 stars
992,NO ME APETECE VIVIR,1 star
993,Con ganas de morirme,5 stars
994,"Hay gente que no entiende que el suicidio si es una opción, a veces la única visible",2 stars
995,NO PUEDO,1 star
996,De nuevo vacío,1 star
997,SOY GAY SOY GAY SOY GAY SOY GAY SOY PUTAMENTE GAY SOY ASQUEROSAMENTE GAY SOY una mierda,2 stars
998,Cansado si muy cansado de todo de la gente y de la vida,1 star
999,LA VIDA ME MATAA,1 star
1000,Cansado,1 star
